date,followers_count,following_count,media_count,engagement_rate,average_likes,average_comments,comments_to_likes_ratio,weekly_posts,account,daily_gain,posts_per_day,month,growth_rate
2025-03-11,15877,205,738,22.643,3559.3,35.8,1.006,4.0,overtake,19.0,0.5714285714285714,2025-03,0.11966996283932732
2025-03-12,15892,205,739,22.896,3602.3,36.3,1.008,4.0,overtake,15.0,0.5714285714285714,2025-03,0.09438711301283666
2025-03-13,15932,205,740,23.104,3644.6,36.4,0.999,4.0,overtake,40.0,0.5714285714285714,2025-03,0.25106703489831783
2025-03-14,15935,205,742,24.593,3878.0,40.9,1.055,5.0,overtake,3.0,0.7142857142857143,2025-03,0.018826482585503606
2025-03-15,15960,206,744,24.51,3870.5,41.3,1.067,7.0,overtake,25.0,1.0,2025-03,0.15664160401002505
2025-03-16,15980,206,745,27.486,4349.6,42.6,0.979,8.0,overtake,20.0,1.1428571428571428,2025-03,0.1251564455569462
2025-03-17,16005,206,749,25.275,4004.0,41.2,1.029,11.0,overtake,25.0,1.5714285714285714,2025-03,0.1562011871290222
2025-03-18,16010,206,750,16.417,2605.7,22.6,0.867,12.0,overtake,5.0,1.7142857142857142,2025-03,0.03123048094940662
2025-03-19,16017,206,751,12.343,1964.2,12.8,0.652,12.0,overtake,7.0,1.7142857142857142,2025-03,0.04370356496222763
2025-03-20,16039,205,752,13.247,2112.5,12.2,0.578,12.0,overtake,22.0,1.7142857142857142,2025-03,0.13716565870690192
2025-03-21,16061,205,752,14.815,2369.6,9.9,0.418,10.0,overtake,22.0,1.4285714285714286,2025-03,0.13697777224332233
2025-03-22,16069,205,752,15.11,2418.3,9.8,0.405,8.0,overtake,8.0,1.1428571428571428,2025-03,0.04978530088991226
2025-03-23,16083,206,754,15.524,2487.0,9.8,0.394,9.0,overtake,14.0,1.2857142857142858,2025-03,0.08704843623702045
2025-03-24,16092,206,755,15.925,2553.3,9.3,0.364,6.0,overtake,9.0,0.8571428571428571,2025-03,0.05592841163310962
2025-03-25,16096,207,756,12.818,2054.9,8.3,0.404,6.0,overtake,4.0,0.8571428571428571,2025-03,0.024850894632206758
2025-03-26,16100,207,757,13.052,2091.4,9.9,0.473,6.0,overtake,4.0,0.8571428571428571,2025-03,0.02484472049689441
2025-03-27,16114,207,757,13.272,2128.0,10.6,0.498,5.0,overtake,14.0,0.7142857142857143,2025-03,0.08688097306689835
2025-03-28,16131,207,758,15.137,2427.6,14.1,0.581,6.0,overtake,17.0,0.8571428571428571,2025-03,0.10538714276858224
2025-03-29,16144,207,760,15.917,2555.9,13.8,0.54,8.0,overtake,13.0,1.1428571428571428,2025-03,0.08052527254707631
2025-03-30,16171,208,763,16.799,2702.2,14.3,0.529,9.0,overtake,27.0,1.2857142857142858,2025-03,0.16696555562426565
2025-03-31,16239,208,767,11.044,1782.1,11.3,0.634,12.0,overtake,68.0,1.7142857142857142,2025-03,0.41874499661309195
2025-04-01,16262,208,768,16.116,2601.2,19.6,0.753,13.0,overtake,23.0,1.8571428571428572,2025-04,0.141434017955971
2025-04-02,16283,208,769,16.854,2725.2,19.2,0.705,13.0,overtake,21.0,1.8571428571428572,2025-04,0.12896886323159124
2025-04-03,16295,209,770,19.313,3129.7,17.3,0.553,14.0,overtake,12.0,2.0,2025-04,0.0736422215403498
2025-04-04,16310,209,771,17.072,2771.1,13.4,0.484,14.0,overtake,15.0,2.0,2025-04,0.09196811771919068
2025-04-05,16336,209,771,18.279,2970.5,15.5,0.522,12.0,overtake,26.0,1.7142857142857142,2025-04,0.15915768854064644
2025-04-06,16351,208,771,18.921,3077.7,16.1,0.523,9.0,overtake,15.0,1.2857142857142858,2025-04,0.09173750840927161
2025-04-07,16354,233,771,19.313,3142.1,16.4,0.522,5.0,overtake,3.0,0.7142857142857143,2025-04,0.018344135991194815
2025-04-08,16360,233,772,19.617,3192.6,16.7,0.523,4.0,overtake,6.0,0.5714285714285714,2025-04,0.03667481662591687
2025-04-09,16366,235,773,19.887,3237.9,16.8,0.519,4.0,overtake,6.0,0.5714285714285714,2025-04,0.03666137113528046
2025-04-10,16372,235,774,19.946,3248.8,16.8,0.517,4.0,overtake,6.0,0.5714285714285714,2025-04,0.03664793549963352
2025-04-11,16371,235,775,20.138,3278.7,18.1,0.552,4.0,overtake,-1.0,0.5714285714285714,2025-04,-0.006108362348054486
2025-04-12,16373,235,778,20.009,3256.7,19.4,0.596,7.0,overtake,2.0,1.0,2025-04,0.012215232394796311
2025-04-13,16377,235,780,20.092,3271.3,19.1,0.584,9.0,overtake,4.0,1.2857142857142858,2025-04,0.024424497771264576
2025-04-14,16403,235,784,10.942,1786.0,8.8,0.493,13.0,overtake,26.0,1.8571428571428572,2025-04,0.15850759007498627
2025-04-15,16423,235,785,6.637,1080.1,9.9,0.917,13.0,overtake,20.0,1.8571428571428572,2025-04,0.12178042988491748
2025-04-16,16467,234,786,8.47,1379.2,15.5,1.124,13.0,overtake,44.0,1.8571428571428572,2025-04,0.26720106880427524
2025-04-17,16491,233,787,9.446,1538.0,19.8,1.287,13.0,overtake,24.0,1.8571428571428572,2025-04,0.14553392759687103
2025-04-18,16518,234,788,13.433,2198.8,20.1,0.914,13.0,overtake,27.0,1.8571428571428572,2025-04,0.16345804576825282
2025-04-19,16536,234,788,15.498,2540.8,22.0,0.866,10.0,overtake,18.0,1.4285714285714286,2025-04,0.10885341074020319
2025-04-20,16544,234,789,17.243,2829.0,23.7,0.838,9.0,overtake,8.0,1.2857142857142858,2025-04,0.04835589941972921
2025-04-21,16552,234,789,17.762,2915.9,24.0,0.823,5.0,overtake,8.0,0.7142857142857143,2025-04,0.04833252779120348
2025-04-22,16562,234,789,17.808,2924.5,24.9,0.851,4.0,overtake,10.0,0.5714285714285714,2025-04,0.06037918125830214
2025-04-23,16557,234,790,18.139,2977.9,25.3,0.85,4.0,overtake,-5.0,0.5714285714285714,2025-04,-0.0301987074953192
2025-04-24,16564,234,791,18.419,3025.3,25.7,0.85,4.0,overtake,7.0,0.5714285714285714,2025-04,0.042260323593334946
2025-04-25,16569,259,794,18.917,3107.8,26.5,0.853,6.0,overtake,5.0,0.8571428571428571,2025-04,0.030176836260486447
2025-04-26,16570,259,798,19.34,3177.0,27.6,0.869,10.0,overtake,1.0,1.4285714285714286,2025-04,0.006035003017501509
2025-04-27,16590,259,799,16.75,2767.8,11.0,0.397,10.0,overtake,20.0,1.4285714285714286,2025-04,0.12055455093429776
2025-04-28,16600,259,800,11.606,1916.3,10.3,0.537,11.0,overtake,10.0,1.5714285714285714,2025-04,0.06024096385542169
2025-04-29,16617,259,801,10.382,1715.8,9.3,0.542,12.0,overtake,17.0,1.7142857142857142,2025-04,0.1023048685081543
2025-04-30,16621,259,802,11.032,1824.0,9.7,0.532,12.0,overtake,4.0,1.7142857142857142,2025-04,0.02406594067745623
2025-05-01,16643,259,802,12.811,2121.3,10.9,0.514,11.0,overtake,22.0,1.5714285714285714,2025-05,0.13218770654329146
2025-05-02,16654,259,802,15.582,2583.2,11.9,0.461,8.0,overtake,11.0,1.1428571428571428,2025-05,0.06605019815059446
2025-05-03,16666,260,802,16.598,2754.1,12.1,0.439,4.0,overtake,12.0,0.5714285714285714,2025-05,0.07200288011520461
2025-05-04,16667,260,803,17.211,2856.2,12.3,0.431,4.0,overtake,1.0,0.5714285714285714,2025-05,0.005999880002399952
2025-05-05,16673,260,804,17.607,2923.3,12.3,0.421,4.0,overtake,6.0,0.5714285714285714,2025-05,0.03598632519642536
2025-05-06,16676,260,804,18.297,3039.4,11.8,0.388,3.0,overtake,3.0,0.42857142857142855,2025-05,0.017989925641640682
2025-05-07,16679,261,805,18.631,3095.8,11.7,0.378,3.0,overtake,3.0,0.42857142857142855,2025-05,0.01798668984951136
2025-05-08,16686,261,806,19.126,3179.5,11.8,0.371,4.0,overtake,7.0,0.5714285714285714,2025-05,0.041951336449718324
2025-05-09,16692,261,809,19.575,3255.5,12.0,0.369,7.0,overtake,6.0,1.0,2025-05,0.03594536304816679
2025-05-10,16718,262,812,20.331,3385.7,13.3,0.393,10.0,overtake,26.0,1.4285714285714286,2025-05,0.15552099533437014
2025-05-11,16782,262,814,19.72,3295.8,13.6,0.413,11.0,overtake,64.0,1.5714285714285714,2025-05,0.38136098200452867
2025-05-12,16791,262,816,21.917,3662.8,17.3,0.472,12.0,overtake,9.0,1.7142857142857142,2025-05,0.053600142933714484
2025-05-13,16812,262,818,12.047,2012.7,12.6,0.626,14.0,overtake,21.0,2.0,2025-05,0.12491077801570308
2025-05-14,16835,263,819,14.457,2420.1,13.8,0.57,14.0,overtake,23.0,2.0,2025-05,0.1366201366201366
2025-05-15,16886,264,820,15.746,2644.8,14.0,0.529,14.0,overtake,51.0,2.0,2025-05,0.30202534644083856
2025-05-16,16903,266,821,20.294,3388.2,42.1,1.243,12.0,overtake,17.0,1.7142857142857142,2025-05,0.10057386262793586
2025-05-17,16937,267,822,22.313,3731.4,47.8,1.281,10.0,overtake,34.0,1.4285714285714286,2025-05,0.200743933400248
2025-05-18,16970,266,822,22.995,3853.5,48.8,1.266,8.0,overtake,33.0,1.1428571428571428,2025-05,0.1944608131997643
2025-05-19,17025,267,823,25.414,4270.7,56.0,1.311,7.0,overtake,55.0,1.0,2025-05,0.32305433186490456
2025-05-20,17056,267,824,26.808,4512.8,59.5,1.318,6.0,overtake,31.0,0.8571428571428571,2025-05,0.18175422138836775
2025-05-21,17078,268,825,25.355,4273.7,56.5,1.322,6.0,overtake,22.0,0.8571428571428571,2025-05,0.12882070500058557
2025-05-22,17094,268,826,26.087,4401.8,57.5,1.306,6.0,overtake,16.0,0.8571428571428571,2025-05,0.09360009360009361
2025-05-23,17111,268,828,26.313,4442.6,59.8,1.346,7.0,overtake,17.0,1.0,2025-05,0.09935129448892525
2025-05-24,17141,269,831,28.154,4763.6,62.3,1.308,9.0,overtake,30.0,1.2857142857142858,2025-05,0.1750189603873753
2025-05-25,17155,269,834,28.129,4764.2,61.3,1.287,12.0,overtake,14.0,1.7142857142857142,2025-05,0.08160886039055669
2025-05-26,17178,269,834,18.502,3153.6,24.6,0.78,11.0,overtake,23.0,1.5714285714285714,2025-05,0.13389218768191874
